[2026-01-29 23:00:11,562: INFO: main: Welcome to our Custom log]
[2026-01-29 23:02:30,481: INFO: main: Welcome to our Custom log]
[2026-01-30 21:45:53,292: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-30 21:45:53,304: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-30 21:46:17,067: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-30 21:46:17,068: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-30 21:46:36,046: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-30 21:46:36,047: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-30 21:50:03,305: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-30 21:50:03,316: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-30 21:50:03,320: INFO: common: created directory at: artifacts]
[2026-01-30 21:50:03,321: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-30 21:50:03,323: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1k18u-BMJCfMwpAr5fBCf1NEvoMi8Tfm9/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-30 21:52:12,505: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1k18u-BMJCfMwpAr5fBCf1NEvoMi8Tfm9/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-30 22:09:40,701: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-30 22:09:40,702: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-30 22:09:40,703: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-30 22:09:40,704: INFO: common: created directory at: artifacts]
[2026-01-30 22:09:40,705: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-30 22:09:40,705: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1k18u-BMJCfMwpAr5fBCf1NEvoMi8Tfm9/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-30 22:10:20,338: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1k18u-BMJCfMwpAr5fBCf1NEvoMi8Tfm9/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-30 22:10:21,076: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
